NameString
Biruni
Gan De
Toru Kobayashi
Lubo_ Kohoutek
Kazuo Kubokawa
Yoshio Kushida
Jérôme Lalande
Joseph Lockyer
John C. Mather
Pierre Méchain
Maria Mitchell
Anthony Moffat
Amédée Mouchez
Takeshi Nagata
Syuichi Nakano
Tsuneo Niijima
Toshiro Nomura
Tomimaru Okuni
Gerard O'Neill
Rafael Pacheco
Pierre Puiseux
Fernand Rigaux
Lipót Schulhof
Harlow Shapley
Brian A. Skiff
Rainer Spurzem
Lewis A. Swift
Richard Tousey
Charles Townes
R. Brent Tully
Zde_ka Vávrová
Philippe Véron
Emma Vyssotsky
Rachel Webster
Gary A. Wegner
J. G. Westphal
Olin C. Wilson
Issei Yamamoto
Masayuki Yanai
Abraham Zacuto
Petrus Alphonsi
Joseph Ashbrook
John N. Bahcall
John Bainbridge
John E. Baldwin
Sallie Baliunas
Pietro Baracchi
Ludwig Biermann
Nathaniel Bliss
Alfred Bohrmann
Rychard Bouwens
Theodor Brorsen
Gustavo Bruzual
James Carpenter
Jacques Cassini
Guy Consolmagno
Corsono Carsono
Bernhard Dawson
Henri Debehogne
Andrea Di Paola
David J. Eicher
Albert Einstein
David Fabricius
Sandra M. Faber
Alex Filippenko
Dirk D. Frimout
Galileo Galilei
Margaret Geller
Henry L. Giclas
Peter Goldreich
Yusuke Hagihara
Abulfazl Harawi
Stephen Hawking
Maximilian Hell
Dorrit Hoffleit
William Huggins
Iwahashi Zenbei
David C. Jewitt
John A. Johnson
Jacobus Kapteyn
Johannes Kepler
Daniel Kirkwood
Robert Kirshner
Takao Kobayashi
Nobuhisa Kojima
Korado Korlevi_
Heinrich Kreutz
Andrew E. Lange
William Lassell
Armin Leuschner
Bertil Lindblad
Karl L. Littrow
Percival Lowell
Nevil Maskelyne
Charles Messier
Seidai Miyasaka
Samuel Molyneux
Johannes Müller
Osamu Muramatsu
"bin Musa, Ahmad"
"bin Musa, Hasan"
Valentin Naboth
Ahmad Nahavandi
Jayant Narlikar
Otto Neugebauer
Nicolaus Olahus
Yoshiaki Oshima
Anton Pannekoek
Manuel Peimbert
Saul Perlmutter
Giuseppe Piazzi
Petrus Plancius
Jean-Louis Pons
Richard Proctor
Julius Reichelt
Hans-Walter Rix
Svein Rosseland
Anneila Sargent
Maarten Schmidt
Robert Schommer
Sir James South
Édouard Stephan
K_ichir_ Tomita
Albrecht Unsöld
James Van Allen
Yvon Villarceau
Kazuro Watanabe
Richard M. West
Gart Westerhout
Albert Whitford
Maximilian Wolf
John Couch Adams
Wilhelm Anderson
Christoph Arnold
Svante Arrhenius
Giuseppe Asclepi
Rudjer Boscovich
Sir John Carroll
Vincenzo Cerulli
Auguste Charlois
Willem de Sitter
Jean C. B. Dufay
Arthur Eddington
Eric Walter Elst
Ernest Esclangon
Herbert Friedman
Naoshi Fukushima
Toshimasa Furuta
Michel Giacobini
Jesse Greenstein
Alan Harvey Guth
Chushiro Hayashi
Joseph Helffrich
Thomas Henderson
William Herschel
Cuno Hoffmeister
Masayuki Iwamoto
Cyril V. Jackson
Ghiyath al-Kashi
Karlis Kaufmanis
Charles T. Kowal
Georges Lemaître
Pierre Lemonnier
Brian G. Marsden
Karen Jean Meech
Elia Millosevich
Yoshikane Mizuno
Akimasa Nakamura
Jan Hendrik Oort
Bohdan Paczy_ski
Johann Palitzsch
Ruby Payne-Scott
Mark M. Phillips
Christian Pollas
Adolphe Quetelet
Erasmus Reinhold
Elizabeth Roemer
Bernhard Schmidt
Brian P. Schmidt
Waltraut Seitter
Willem de Sitter
Kesao Takamizawa
Thabit ibn Qurra
Norman G. Thomas
Virginia Trimble
Antonio de Ulloa
Hendrik van Gent
Bengt Westerlund
George Wetherill
Rogier Windhorst
Eva Ahnert-Rohlfs
Lawrence H. Aller
Harold D. Babcock
Horace W. Babcock
